id,Region,Year,male_participants,female_participants,total_participants
2020_AFG,AFG,2020,8,2,10
2020_ALB,ALB,2020,12,6,18
2020_ALG,ALG,2020,50,26,76
2020_AND,AND,2020,2,2,4
2020_ANG,ANG,2020,8,32,40
2020_ANT,ANT,2020,6,6,12
2020_ARG,ARG,2020,254,116,370
2020_ARM,ARM,2020,28,6,34
2020_ARU,ARU,2020,4,2,6
2020_ASA,ASA,2020,10,2,12
2020_AUS,AUS,2020,444,514,958
2020_AUT,AUT,2020,72,74,146
2020_AZE,AZE,2020,56,32,88
2020_BAH,BAH,2020,12,18,30
2020_BAN,BAN,2020,8,4,12
2020_BAR,BAR,2020,8,8,16
2020_BDI,BDI,2020,6,6,12
2020_BEL,BEL,2020,138,109,247
2020_BEN,BEN,2020,8,6,14
2020_BER,BER,2020,2,2,4
2020_BHU,BHU,2020,4,4,8
2020_BIH,BIH,2020,8,6,14
2020_BIZ,BIZ,2020,4,2,6
2020_BLR,BLR,2020,90,116,206
2020_BOL,BOL,2020,6,4,10
2020_BOT,BOT,2020,16,10,26
2020_BRA,BRA,2020,328,292,620
2020_BRN,BRN,2020,50,14,64
2020_BRU,BRU,2020,4,0,4
2020_BUL,BUL,2020,28,56,84
2020_BUR,BUR,2020,10,4,14
2020_CAF,CAF,2020,2,2,4
2020_CAM,CAM,2020,4,2,6
2020_CAN,CAN,2020,296,460,756
2020_CAY,CAY,2020,4,6,10
2020_CGO,CGO,2020,2,4,6
2020_CHA,CHA,2020,2,4,6
2020_CHI,CHI,2020,40,62,102
2020_CHN,CHN,2020,250,570,820
2020_CIV,CIV,2020,40,12,52
2020_CMR,CMR,2020,10,14,24
2020_COD,COD,2020,6,6,12
2020_COK,COK,2020,6,6,12
2020_COL,COL,2020,90,44,134
2020_COM,COM,2020,4,2,6
2020_CPV,CPV,2020,6,6,12
2020_CRC,CRC,2020,10,16,26
2020_CRO,CRO,2020,80,40,120
2020_CUB,CUB,2020,70,64,134
2020_CYP,CYP,2020,18,12,30
2020_CZE,CZE,2020,140,78,218
2020_DEN,DEN,2020,110,98,208
2020_DJI,DJI,2020,6,2,8
2020_DMA,DMA,2020,2,2,4
2020_DOM,DOM,2020,84,46,130
2020_ECU,ECU,2020,34,58,92
2020_EGY,EGY,2020,178,96,274
2020_EOR,EOR,2020,38,20,58
2020_ERI,ERI,2020,16,10,26
2020_ESA,ESA,2020,6,4,10
2020_ESP,ESP,2020,380,276,656
2020_EST,EST,2020,38,28,66
2020_ETH,ETH,2020,34,38,72
2020_FIJ,FIJ,2020,32,32,64
2020_FIN,FIN,2020,44,46,90
2020_FRA,FRA,2020,425,336,761
2020_FSM,FSM,2020,4,2,6
2020_GAB,GAB,2020,6,4,10
2020_GAM,GAM,2020,6,2,8
2020_GBR,GBR,2020,356,394,750
2020_GBS,GBS,2020,6,2,8
2020_GEO,GEO,2020,56,10,66
2020_GEQ,GEQ,2020,4,2,6
2020_GER,GER,2020,469,318,787
2020_GHA,GHA,2020,20,4,24
2020_GRE,GRE,2020,90,60,150
2020_GRN,GRN,2020,8,4,12
2020_GUA,GUA,2020,28,20,48
2020_GUI,GUI,2020,4,4,8
2020_GUM,GUM,2020,4,6,10
2020_GUY,GUY,2020,6,8,14
2020_HAI,HAI,2020,4,8,12
2020_HKG,HKG,2020,34,52,86
2020_HON,HON,2020,42,4,46
2020_HUN,HUN,2020,162,182,344
2020_INA,INA,2020,32,24,56
2020_IND,IND,2020,134,106,240
2020_IRI,IRI,2020,110,20,130
2020_IRL,IRL,2020,126,114,240
2020_IRQ,IRQ,2020,4,2,6
2020_ISL,ISL,2020,6,2,8
2020_ISR,ISR,2020,110,68,178
2020_ISV,ISV,2020,6,2,8
2020_ITA,ITA,2020,378,356,734
2020_IVB,IVB,2020,2,4,6
2020_JAM,JAM,2020,48,60,108
2020_JOR,JOR,2020,20,8,28
2020_JPN,JPN,2020,628,572,1200
2020_KAZ,KAZ,2020,128,66,194
2020_KEN,KEN,2020,72,98,170
2020_KGZ,KGZ,2020,22,10,32
2020_KIR,KIR,2020,4,2,6
2020_KOR,KOR,2020,260,210,470
2020_KOS,KOS,2020,10,12,22
2020_KSA,KSA,2020,58,4,62
2020_KUW,KUW,2020,16,4,20
2020_LAO,LAO,2020,4,4,8
2020_LAT,LAT,2020,38,26,64
2020_LBA,LBA,2020,6,2,8
2020_LBN,LBN,2020,6,6,12
2020_LBR,LBR,2020,4,2,6
2020_LCA,LCA,2020,4,6,10
2020_LES,LES,2020,2,2,4
2020_LIE,LIE,2020,4,6,10
2020_LTU,LTU,2020,52,32,84
2020_LUX,LUX,2020,16,8,24
2020_MAD,MAD,2020,8,4,12
2020_MAR,MAR,2020,60,28,88
2020_MAS,MAS,2020,24,36,60
2020_MAW,MAW,2020,4,6,10
2020_MDA,MDA,2020,18,22,40
2020_MDV,MDV,2020,4,4,8
2020_MEX,MEX,2020,190,130,320
2020_MGL,MGL,2020,36,50,86
2020_MHL,MHL,2020,2,2,4
2020_MKD,MKD,2020,10,6,16
2020_MLI,MLI,2020,6,2,8
2020_MLT,MLT,2020,4,8,12
2020_MNE,MNE,2020,32,36,68
2020_MON,MON,2020,6,6,12
2020_MOZ,MOZ,2020,8,12,20
2020_MRI,MRI,2020,12,4,16
2020_MTN,MTN,2020,2,2,4
2020_MYA,MYA,2020,2,2,4
2020_NA,NA,2020,12109,10966,23075
2020_NAM,NAM,2020,10,12,22
2020_NCA,NCA,2020,8,8,16
2020_NED,NED,2020,225,311,536
2020_NEP,NEP,2020,2,8,10
2020_NGR,NGR,2020,48,58,106
2020_NIG,NIG,2020,8,6,14
2020_NOR,NOR,2020,118,68,186
2020_NRU,NRU,2020,2,2,4
2020_NZL,NZL,2020,226,204,430
2020_OMA,OMA,2020,8,2,10
2020_PAK,PAK,2020,14,6,20
2020_PAN,PAN,2020,8,12,20
2020_PAR,PAR,2020,6,10,16
2020_PER,PER,2020,38,32,70
2020_PHI,PHI,2020,18,20,38
2020_PLE,PLE,2020,6,4,10
2020_PLW,PLW,2020,4,2,6
2020_PNG,PNG,2020,8,8,16
2020_POL,POL,2020,216,196,412
2020_POR,POR,2020,112,72,184
2020_PUR,PUR,2020,26,48,74
2020_QAT,QAT,2020,26,4,30
2020_ROC,ROC,2020,294,375,669
2020_ROU,ROU,2020,114,90,204
2020_RSA,RSA,2020,230,124,354
2020_RWA,RWA,2020,6,4,10
2020_SAM,SAM,2020,14,2,16
2020_SEN,SEN,2020,12,6,18
2020_SEY,SEY,2020,8,2,10
2020_SGP,SGP,2020,12,34,46
2020_SKN,SKN,2020,2,2,4
2020_SLE,SLE,2020,2,4,6
2020_SLO,SLO,2020,56,50,106
2020_SMR,SMR,2020,6,4,10
2020_SOL,SOL,2020,2,4,6
2020_SOM,SOM,2020,2,2,4
2020_SRB,SRB,2020,86,88,174
2020_SRI,SRI,2020,8,10,18
2020_SSD,SSD,2020,2,2,4
2020_STP,STP,2020,4,2,6
2020_SUD,SUD,2020,4,4,8
2020_SUI,SUI,2020,118,108,226
2020_SUR,SUR,2020,4,0,4
2020_SVK,SVK,2020,54,28,82
2020_SWE,SWE,2020,110,156,266
2020_SWZ,SWZ,2020,6,2,8
2020_SYR,SYR,2020,10,2,12
2020_TAN,TAN,2020,4,2,6
2020_TGA,TGA,2020,6,6,12
2020_THA,THA,2020,30,52,82
2020_TJK,TJK,2020,18,2,20
2020_TKM,TKM,2020,10,8,18
2020_TLS,TLS,2020,4,2,6
2020_TOG,TOG,2020,6,2,8
2020_TPE,TPE,2020,66,70,136
2020_TTO,TTO,2020,30,20,50
2020_TUN,TUN,2020,68,58,126
2020_TUR,TUR,2020,112,98,210
2020_TUV,TUV,2020,2,2,4
2020_UAE,UAE,2020,10,0,10
2020_UGA,UGA,2020,24,26,50
2020_UKR,UKR,2020,128,170,298
2020_URU,URU,2020,12,10,22
2020_USA,USA,2020,570,673,1243
2020_UZB,UZB,2020,74,60,134
2020_VAN,VAN,2020,6,0,6
2020_VEN,VEN,2020,60,26,86
2020_VIE,VIE,2020,16,20,36
2020_VIN,VIN,2020,2,4,6
2020_YEM,YEM,2020,6,4,10
2020_ZAM,ZAM,2020,12,42,54
2020_ZIM,ZIM,2020,8,2,10
