X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102
,ARC,ARC,ATH,ATH,BBL,BBL,BDM,BDM,BK3,BK3,BKB,BKB,BMF,BMF,BMX,BMX,BOX,BOX,CLB,CLB,CRD,CRD,CSL,CSL,CSP,CSP,CTR,CTR,DIV,DIV,EDR,EDR,EJP,EJP,EVE,EVE,FBL,FBL,FEN,FEN,GAR,GAR,GLF,GLF,GRY,GRY,GTR,GTR,HBL,HBL,HOC,HOC,JUD,JUD,KTE,KTE,MPN,MPN,MTB,MTB,OWS,OWS,ROW,ROW,RU7,RU7,SAL,SAL,SHO,SHO,SKB,SKB,SOF,SOF,SRF,SRF,SWA,SWA,SWM,SWM,TEN,TEN,TKW,TKW,TRI,TRI,TTE,TTE,VBV,VBV,VVO,VVO,WLF,WLF,WPO,WPO,WRE,WRE,Total,Total,Total
,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,all
AFG,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,5
ALB,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,6,3,9
ALG,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,5,3,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,2,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,7,-,25,13,38
AND,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2
ANG,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,16,20
ANT,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,6
ARG,-,-,2,2,-,-,-,-,-,-,12,-,-,-,1,-,4,1,-,-,1,-,1,-,2,1,-,-,-,-,-,-,4,-,-,-,20,-,-,1,-,1,-,1,-,-,-,-,16,-,18,18,1,1,-,-,1,-,-,1,-,1,-,2,13,-,4,7,2,2,-,-,-,-,1,-,-,-,1,3,6,1,1,-,-,1,2,-,2,2,11,12,-,-,-,-,1,-,127,58,185
ARM,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,6,-,14,3,17
ARU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3
ASA,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,5,1,6
AUS,3,1,28,34,-,-,1,3,-,-,12,12,1,1,1,2,3,2,1,1,4,4,2,1,6,8,8,6,3,4,-,3,-,2,3,-,19,19,-,-,1,2,2,2,-,6,1,1,-,-,18,18,1,2,1,-,1,1,1,1,1,1,20,18,13,13,7,6,8,7,3,2,-,15,2,2,-,8,17,18,5,5,2,2,3,3,3,3,2,2,-,-,2,3,13,13,-,-,222,257,479
AUT,-,-,3,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,3,1,1,2,-,2,2,-,-,-,2,-,-,-,-,1,-,-,-,-,-,1,2,1,-,-,-,-,-,-,-,-,2,4,-,1,1,-,1,1,-,-,-,3,-,-,3,3,1,1,-,1,-,-,-,-,-,2,5,2,2,-,-,-,2,2,3,3,-,-,-,-,1,1,-,-,-,-,36,37,73
AZE,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,6,-,-,-,-,-,-,7,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,5,2,28,16,44
BAH,-,-,5,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,9,15
BAN,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,6
BAR,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,8
BDI,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,6
BEL,1,-,16,12,-,-,-,1,4,-,-,12,-,-,-,1,-,-,-,-,5,3,1,-,1,2,2,2,-,-,1,2,4,-,-,1,-,-,-,-,-,4,2,1,-,-,-,-,-,-,18,-,3,1,-,-,-,-,1,1,-,-,2,-,-,-,1,3,-,1,1,1,-,-,-,-,-,-,1,1,2,2,1,-,2,2,-,-,-,-,-,-,-,2,-,-,-,-,69,54,123
BEN,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,7
BER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2
BHU,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4
BIH,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,7
BIZ,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3
BLR,-,3,12,18,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,1,1,-,-,5,7,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,7,2,-,-,-,-,-,2,1,-,-,1,2,-,-,-,-,2,3,-,-,1,1,1,2,-,-,-,-,-,-,-,2,4,4,2,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,5,3,45,58,103
BOL,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,5
BOT,-,-,6,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,8,5,13
BRA,1,1,33,20,-,-,1,1,-,-,-,-,-,-,1,1,4,3,-,-,-,-,1,1,3,-,-,-,2,2,1,-,4,-,4,-,18,20,1,1,5,2,-,-,-,5,-,-,16,15,-,-,7,6,-,-,-,1,2,1,-,1,1,-,-,13,7,6,1,-,6,6,-,-,2,2,-,-,16,10,4,2,2,1,1,2,3,3,4,4,12,12,-,2,-,-,1,2,164,146,310
BRN,-,-,8,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,7,32
BRU,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2
BUL,-,-,1,4,-,-,-,3,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,7,-,-,-,-,-,-,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,3,4,14,28,42
BUR,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,2,7
CAF,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2
CAM,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3
CAN,1,1,23,32,-,-,4,4,-,-,-,12,-,-,1,1,1,4,1,1,3,3,2,2,8,6,6,7,4,6,1,2,1,-,-,1,-,21,6,5,1,4,2,2,-,-,-,2,-,-,17,-,3,3,1,-,-,-,1,2,1,1,9,20,13,13,5,4,-,1,3,1,-,15,-,-,-,8,9,15,1,3,-,2,3,2,2,1,-,4,12,-,1,4,-,13,2,2,148,230,378
CAY,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,5
CGO,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3
CHA,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3
CHI,1,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,1,1,-,-,-,-,17,-,1,1,1,2,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,2,-,-,-,1,-,-,1,-,1,-,-,1,-,-,-,1,1,1,-,-,-,1,1,-,1,2,-,-,-,1,-,-,-,1,-,20,31,51
CHN,3,3,22,26,-,-,6,8,4,4,-,12,-,-,-,-,3,3,1,1,1,1,1,2,6,9,1,3,5,5,-,-,4,-,3,-,-,18,5,9,6,6,2,2,-,5,2,2,-,-,-,18,-,6,-,2,2,2,1,1,-,1,7,21,-,13,5,7,10,14,-,2,-,-,-,-,-,8,11,18,-,5,2,4,-,1,3,4,-,4,-,12,4,4,-,13,5,6,125,285,410
CIV,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,6,26
CMR,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,1,5,7,12
COD,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,6
COK,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,6
COL,1,1,15,8,-,-,-,-,-,-,-,-,-,-,2,1,4,2,-,-,4,1,-,-,-,-,1,-,3,-,-,-,1,-,-,-,-,-,-,1,-,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,2,1,1,3,1,1,1,-,-,-,-,-,-,-,-,2,1,-,-,3,-,45,22,67
COM,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3
CPV,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,6
CRC,-,-,1,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,13
CRO,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,3,-,-,-,3,1,3,1,-,-,-,-,-,-,-,-,1,1,4,2,2,2,-,-,3,-,-,-,-,-,-,-,13,-,2,-,40,20,60
